feature,importance
RoadType,24.25677586619859
roadtype_period,16.28717135223586
geohash,15.912444681508882
NumberofLanes,6.377413249799964
geo_road,6.006391498104466
LargeVehicles,4.374683410615699
cos_hour,3.3837548704099842
lon,3.122449072593121
geo_period,2.910876474473797
lat_lon_interaction,2.7478697368137106
sin_hour,2.5231917609456103
hour,1.7640910111972574
period,1.5447544139896279
hour_sq,1.496239313482148
geo_hour,1.337461087995727
lat,1.3004800297967334
geo_temp,0.8459538689230854
geo_weather,0.7615511779769553
day,0.507467818870142
cos_day,0.4611612084271502
sin_day,0.3421927376326018
weather_temp,0.3412252439941916
temperature_sq,0.29101823521732584
Temperature,0.2884497880587857
Weather,0.2770103347236449
temp_bucket,0.2727932898449451
Landmarks,0.1810565213792112
is_morning_peak,0.049228536656017605
is_evening_peak,0.034843408134614805
