feature,importance
RoadType_highway,0.7490815
RoadType_street,0.11696885
RoadType_residential,0.089257784
RoadType_Residential,0.020978147
LargeVehicles,0.01040158
distance_from_city_center,0.0018170587
Landmarks,0.0017729811
lon_scaled,0.0016654448
lat_scaled,0.001664842
NumberofLanes,0.0012870728
time_cos,0.0009651911
time_sin,0.00068062206
minutes_since_midnight,0.00067923235
day,0.0006776179
hour,0.0005185862
Weather_Sunny,0.00038969732
Weather_foggy,0.00022553772
Weather_sunny,0.00021851483
Weather_rainy,0.00021000976
Temperature,0.00020755178
Weather_snowy,0.00016832762
minute,0.00016385909
